     atm_u           atm_v           atm_T           atm_q           R_net     
-8.71224463E-01  7.52976513E+00  3.02059998E+02  7.63609586E-03  8.56014023E+01
-5.19635737E-01  7.62230778E+00  3.02089996E+02  7.66205229E-03  8.52439156E+01
-2.75007665E-01  7.87519979E+00  3.02119995E+02  7.67487194E-03  8.48864288E+01
-8.89932811E-01  7.14478970E+00  3.02119995E+02  7.74049014E-03  8.45289421E+01
-8.87811542E-01  7.33647633E+00  3.02089996E+02  7.75339175E-03  8.41714554E+01
-5.02942443E-01  7.19243717E+00  3.02100006E+02  7.67471315E-03  8.38139687E+01
-7.36149475E-02  7.02961493E+00  3.02070007E+02  7.82491360E-03  8.34564819E+01
-1.57485813E-01  7.51835108E+00  3.02059998E+02  7.70074921E-03  8.30989952E+01
-3.55625093E-01  7.27130890E+00  3.02070007E+02  7.78556243E-03  8.27415085E+01
-2.63396412E-01  6.28448296E+00  3.02059998E+02  7.84426555E-03  8.23840218E+01
-6.26417100E-01  6.06171894E+00  3.02000000E+02  7.83120096E-03  8.20265350E+01
-4.81666803E-01  6.88818026E+00  3.02010010E+02  7.72646675E-03  8.16690483E+01
-7.16986507E-02  6.84662485E+00  3.01979980E+02  7.76572805E-03  8.13115616E+01
-2.69866168E-01  7.02481842E+00  3.01910004E+02  7.71388831E-03  8.09540749E+01
-6.15928352E-01  7.65526152E+00  3.01910004E+02  7.58929783E-03  8.05965881E+01
-7.01670706E-01  6.45899916E+00  3.01919983E+02  7.66794523E-03  8.02391014E+01
-7.01921880E-01  6.06652737E+00  3.01910004E+02  7.68681429E-03  7.98816147E+01
-5.88035882E-01  5.99724054E+00  3.01910004E+02  7.76540581E-03  7.95241280E+01
-5.80824375E-01  6.03210068E+00  3.01919983E+02  7.69979088E-03  7.91666412E+01
-3.89292717E-01  5.86108589E+00  3.01910004E+02  7.72598572E-03  7.88091545E+01
-6.37277424E-01  6.61838961E+00  3.01919983E+02  7.56264245E-03  7.84516678E+01
-3.16737771E-01  6.04370594E+00  3.01919983E+02  7.69955153E-03  7.80941811E+01
-5.12195230E-01  5.52129364E+00  3.01809998E+02  7.88893178E-03  7.77366943E+01
-7.29674637E-01  6.50520468E+00  3.01760010E+02  7.61461537E-03  7.73792076E+01
-7.67321229E-01  6.63175631E+00  3.01760010E+02  7.63411680E-03  7.70217209E+01
