     atm_u           atm_v           atm_T           atm_q           R_net     
-8.51121962E-01  6.69090688E-01  2.86250000E+02  8.75837449E-03  -1.75567627E+01
-6.89984202E-01  6.03020824E-02  2.86350006E+02  8.70069396E-03  -1.52118530E+01
-6.24367356E-01  -1.09076403E-01  2.86449982E+02  8.70069396E-03  -1.03190308E+01
-5.77153444E-01  -6.10322773E-01  2.86449982E+02  8.75837449E-03  -9.71078491E+00
-5.01943529E-01  -8.76443207E-01  2.86549988E+02  8.87474976E-03  -1.08635254E+01
-3.49675953E-01  -7.63758302E-01  2.86549988E+02  9.11251921E-03  -1.58126831E+01
-4.16515648E-01  -2.17749193E-01  2.86350006E+02  9.11251921E-03  -1.52134705E+01
-7.62552559E-01  -2.41895944E-01  2.86449982E+02  8.99426918E-03  -1.57863159E+01
-7.58070648E-01  1.94174677E-01  2.86449982E+02  8.99426918E-03  -2.26481018E+01
-9.23956096E-01  3.02132249E-01  2.86250000E+02  8.99426918E-03  -3.20470581E+01
-1.06938767E+00  4.38841105E-01  2.85949982E+02  8.76096450E-03  -3.37743225E+01
-5.45536697E-01  -4.38622504E-01  2.85850006E+02  8.64590611E-03  -3.37694092E+01
-3.49552095E-01  -5.24131000E-01  2.85649994E+02  8.70326720E-03  -3.93227539E+01
-4.96421933E-01  -2.36781090E-01  2.85549988E+02  8.58888030E-03  -4.15531311E+01
 1.96458980E-01  5.53674698E-01  2.85049988E+02  8.47582798E-03  -4.05033264E+01
 1.61058590E-01  3.07214022E-01  2.84649994E+02  8.36327579E-03  -3.94254761E+01
-4.04067844E-01  -1.47068620E-01  2.84549988E+02  8.30790401E-03  -3.88984375E+01
-6.71040177E-01  -3.56798351E-01  2.84649994E+02  8.36327579E-03  -3.85158081E+01
-6.36653304E-02  -6.26774848E-01  2.84850006E+02  8.47499445E-03  -3.83109436E+01
 1.01124696E-01  -1.23991102E-01  2.84350006E+02  8.36327579E-03  -3.24959106E+01
 1.13762781E-01  -3.56993258E-01  2.84049988E+02  8.08966160E-03  -3.25832214E+01
 2.52879620E-01  -9.74823534E-01  2.84250000E+02  8.14454257E-03  -3.48862000E+01
-1.32887471E+00  5.77491283E-01  2.83949982E+02  8.09125509E-03  -3.70418091E+01
-8.27466846E-01  5.69055915E-01  2.83949982E+02  8.09125509E-03  -3.54324951E+01
-3.10782880E-01  2.79604226E-01  2.83949982E+02  8.03669170E-03  -3.30557861E+01
-6.35444283E-01  -2.93616354E-01  2.83949982E+02  8.03669170E-03  -2.78540344E+01
-1.04741347E+00  1.75641641E-01  2.83850006E+02  8.09045788E-03  -3.41240540E+01
-3.18705559E-01  2.28036031E-01  2.83850006E+02  8.03669170E-03  -3.43329773E+01
-4.44998533E-01  -2.87882417E-01  2.84149994E+02  8.14534537E-03  -2.10827332E+01
-8.77003670E-01  -3.90467137E-01  2.83649994E+02  7.87728839E-03  -1.49022217E+01
-9.95764613E-01  -4.43342924E-01  2.84350006E+02  8.36327579E-03  -2.08455200E+01
-8.01191449E-01  -4.09990430E-01  2.84549988E+02  8.47499445E-03  -2.34978638E+01
-9.56340492E-01  -3.82508665E-01  2.84350006E+02  8.30708630E-03  -2.02299500E+01
-9.29709911E-01  -3.94638389E-01  2.84850006E+02  8.58634058E-03  -1.23597717E+01
-3.72897387E-01  -4.57217157E-01  2.85149994E+02  8.69983621E-03  -4.53091431E+00
-4.31264788E-01  -4.59250122E-01  2.85549988E+02  8.99160933E-03  4.19900513E+00
