     atm_u           atm_v           atm_T           atm_q     
-3.29781000E+00  -8.51963000E-02   2.92696000E+02   9.83002000E-03
-3.36468000E+00   3.24007000E-01   2.92548000E+02   9.80357000E-03
-3.24686000E+00   6.97011000E-02   2.92214000E+02   9.84421000E-03
-3.18098000E+00  -3.51757000E-01   2.92808000E+02   9.79298000E-03
-3.15178000E+00  -4.12898000E-01   2.92322000E+02   9.82008000E-03
-3.43707000E+00  -3.20186000E-02   2.92676000E+02   9.80064000E-03
-3.47015000E+00   1.16237000E-01   2.92805000E+02   9.78478000E-03
-3.56531000E+00  -6.90278000E-02   2.92596000E+02   9.77879000E-03
-3.51474000E+00   2.00961000E-01   2.92341000E+02   9.83037000E-03
-3.09202000E+00   3.13964000E-01   2.92010000E+02   9.85611000E-03
-3.39451000E+00   1.09060000E-01   2.92509000E+02   9.78433000E-03
-3.39859000E+00   1.30097000E-01   2.92795000E+02   9.78063000E-03
-3.26560000E+00  -2.51650000E-01   2.92670000E+02   9.76570000E-03
-3.09667000E+00  -2.04165000E-01   2.92517000E+02   9.78263000E-03
-3.64119000E+00  -9.22056000E-02   2.92536000E+02   9.75668000E-03
-3.93425000E+00   1.45589000E-01   2.92738000E+02   9.76833000E-03
-3.04197000E+00   1.80112000E-01   2.92560000E+02   9.79057000E-03
-3.21949000E+00  -2.19099000E-01   2.92302000E+02   9.82179000E-03
-3.95834000E+00  -1.43642000E-01   2.92850000E+02   9.76140000E-03
-3.68358000E+00  -4.30393000E-01   2.92239000E+02   9.80293000E-03
-3.65113000E+00  -4.72917000E-01   2.92632000E+02   9.75197000E-03
-3.36312000E+00   2.34944000E-01   2.92309000E+02   9.79119000E-03
-3.52817000E+00  -7.95118000E-02   2.92260000E+02   9.80047000E-03
-2.71774000E+00  -4.39505000E-01   2.91579000E+02   9.82864000E-03
-3.31356000E+00  -7.96895000E-02   2.92007000E+02   9.80121000E-03
-3.76403000E+00  -1.40051000E-01   2.92147000E+02   9.79801000E-03
-3.55193000E+00   1.70307000E-01   2.91943000E+02   9.80541000E-03
-3.47565000E+00  -3.96845000E-02   2.92247000E+02   9.80439000E-03
-3.40684000E+00  -4.57612000E-02   2.92232000E+02   9.79622000E-03
-3.25635000E+00  -4.89466000E-01   2.92089000E+02   9.78890000E-03
-3.29872000E+00   3.29963000E-02   2.91932000E+02   9.81499000E-03
-3.33915000E+00   1.85819000E-01   2.91911000E+02   9.79641000E-03
-3.28086000E+00  -6.70652000E-01   2.92215000E+02   9.80610000E-03
-3.27875000E+00   2.03446000E-01   2.91927000E+02   9.79096000E-03
-3.66179000E+00  -1.70103000E-01   2.92288000E+02   9.77942000E-03
-3.46269000E+00  -6.36031000E-01   2.92253000E+02   9.76908000E-03
-3.23614000E+00   2.95576000E-01   2.92420000E+02   9.76297000E-03
-3.34499000E+00  -1.00009000E-01   2.91458000E+02   9.80790000E-03
-3.60312000E+00  -2.60986000E-01   2.92776000E+02   9.75103000E-03
-3.65438000E+00  -4.01377000E-01   2.92363000E+02   9.76291000E-03
-2.62788000E+00  -3.63742000E-03   2.91918000E+02   9.78078000E-03
-3.16580000E+00   1.02000000E-01   2.91916000E+02   9.77498000E-03
-2.87485000E+00  -4.31768000E-01   2.91636000E+02   9.79922000E-03
-3.44006000E+00  -1.08545000E-01   2.92439000E+02   9.75847000E-03
-3.60950000E+00  -6.43597000E-01   2.92777000E+02   9.74048000E-03
-3.64088000E+00  -3.87948000E-01   2.91864000E+02   9.78317000E-03
-3.83949000E+00  -1.87522000E-01   2.92414000E+02   9.74834000E-03
-2.65669000E+00  -5.75926000E-01   2.92382000E+02   9.75598000E-03
-2.55705000E+00  -5.22899000E-01   2.91540000E+02   9.79547000E-03
-3.88536000E+00  -3.60452000E-01   2.91770000E+02   9.78686000E-03
-3.19604000E+00   3.33175000E-01   2.91958000E+02   9.77083000E-03
-3.01489000E+00  -5.27288000E-01   2.91951000E+02   9.77264000E-03
-3.60782000E+00  -3.71210000E-01   2.91731000E+02   9.78670000E-03
-2.72511000E+00   1.21868000E-01   2.91886000E+02   9.77393000E-03
-3.04686000E+00   3.52737000E-02   2.92268000E+02   9.75408000E-03
-3.65110000E+00  -1.68124000E-01   2.92245000E+02   9.75902000E-03
-3.51667000E+00  -3.75882000E-01   2.91875000E+02   9.77719000E-03
-3.24360000E+00  -2.78532000E-01   2.91940000E+02   9.76771000E-03
-4.38988000E+00  -1.48584000E-02   2.91981000E+02   9.76663000E-03
-3.65187000E+00  -5.50296000E-02   2.92122000E+02   9.76558000E-03
-3.34635000E+00   3.29897000E-01   2.92221000E+02   9.74304000E-03
-2.63320000E+00  -1.86990000E-01   2.91627000E+02   9.78788000E-03
-3.96718000E+00  -3.90053000E-02   2.92365000E+02   9.74265000E-03
-2.58947000E+00  -3.28213000E-02   2.90981000E+02   9.82699000E-03
-3.00377000E+00  -1.00961000E-01   2.91902000E+02   9.77183000E-03
-3.70202000E+00  -4.79797000E-01   2.92544000E+02   9.73486000E-03
-2.78412000E+00  -5.94823000E-01   2.91736000E+02   9.77824000E-03
-2.80464000E+00  -6.35354000E-01   2.91744000E+02   9.78031000E-03
-3.37694000E+00   1.21148000E-01   2.91841000E+02   9.77295000E-03
-3.09146000E+00   6.83263000E-02   2.92069000E+02   9.75928000E-03
-3.88675000E+00  -3.13250000E-01   2.92034000E+02   9.75768000E-03
-2.08243000E+00   3.55349000E-01   2.91131000E+02   9.81793000E-03
-3.51136000E+00  -7.43658000E-01   2.92194000E+02   9.74961000E-03
-4.26941000E+00  -2.00069000E-01   2.92048000E+02   9.75651000E-03
-2.79482000E+00  -1.75339000E-01   2.91422000E+02   9.79884000E-03
-3.28222000E+00  -1.69858000E-01   2.92265000E+02   9.74023000E-03
-3.03294000E+00   2.44430000E-01   2.91382000E+02   9.80579000E-03
-3.19072000E+00  -1.35728000E-01   2.91997000E+02   9.76710000E-03
-3.06453000E+00   4.04575000E-01   2.91715000E+02   9.78056000E-03
-2.56672000E+00   2.52341000E-02   2.91772000E+02   9.78101000E-03
-3.81404000E+00  -2.89057000E-01   2.92323000E+02   9.73989000E-03
-3.91127000E+00  -3.73087000E-01   2.92421000E+02   9.73074000E-03
-3.55891000E+00   2.16774000E-01   2.92075000E+02   9.75370000E-03
-3.28248000E+00  -3.36837000E-01   2.91948000E+02   9.76718000E-03
-3.58486000E+00  -5.69834000E-01   2.92557000E+02   9.71871000E-03
-3.26903000E+00   2.69280000E-01   2.92322000E+02   9.73727000E-03
-2.57237000E+00  -3.35952000E-01   2.91574000E+02   9.79638000E-03
-3.39083000E+00   3.23675000E-01   2.92003000E+02   9.76151000E-03
-3.84239000E+00   2.98535000E-01   2.91547000E+02   9.79265000E-03
-3.52378000E+00   4.38639000E-01   2.91781000E+02   9.77796000E-03
-2.93770000E+00  -6.48591000E-01   2.91709000E+02   9.78204000E-03
-3.41505000E+00  -1.69056000E-01   2.91875000E+02   9.76980000E-03
-2.94298000E+00   3.19604000E-03   2.91630000E+02   9.79071000E-03
-3.34784000E+00  -6.71461000E-01   2.92169000E+02   9.74688000E-03
-3.78711000E+00  -7.51967000E-01   2.92585000E+02   9.71547000E-03
-3.07666000E+00  -4.13203000E-01   2.90879000E+02   9.84129000E-03
-3.04599000E+00  -7.54570000E-01   2.92377000E+02   9.73357000E-03
-3.45316000E+00  -4.76672000E-01   2.92113000E+02   9.74994000E-03
-2.69689000E+00  -4.16847000E-01   2.91294000E+02   9.81013000E-03
-2.80027000E+00  -3.69344000E-02   2.91725000E+02   9.78324000E-03
-3.63138000E+00   1.06664000E-01   2.92139000E+02   9.75446000E-03
-3.37502000E+00   1.76744000E-01   2.91814000E+02   9.77048000E-03
-2.23405000E+00  -2.82464000E-02   2.91774000E+02   9.77421000E-03
-2.29728000E+00  -1.40110000E-01   2.91630000E+02   9.78696000E-03
-2.59442000E+00  -2.91221000E-01   2.91700000E+02   9.78433000E-03
-2.97763000E+00   1.64817000E-01   2.91589000E+02   9.79214000E-03
-4.15356000E+00   5.37048000E-01   2.92135000E+02   9.74870000E-03
-3.27043000E+00   7.10412000E-01   2.91801000E+02   9.77531000E-03
-3.82441000E+00  -2.13808000E-01   2.92147000E+02   9.74999000E-03
-2.90779000E+00  -9.41493000E-02   2.91681000E+02   9.78482000E-03
-3.59593000E+00   3.95519000E-01   2.91616000E+02   9.78766000E-03
-3.02984000E+00  -4.58317000E-01   2.90982000E+02   9.83684000E-03
-4.18530000E+00  -4.97949000E-01   2.91791000E+02   9.77462000E-03
-3.44610000E+00  -3.38148000E-01   2.91897000E+02   9.77098000E-03
-3.86380000E+00  -2.96076000E-02   2.91957000E+02   9.76518000E-03
-3.89950000E+00  -1.01589000E-01   2.92589000E+02   9.71461000E-03
-3.75581000E+00  -5.17534000E-02   2.92419000E+02   9.72619000E-03
-3.31497000E+00   2.64737000E-01   2.91903000E+02   9.76731000E-03
-3.61146000E+00  -1.68248000E-01   2.91481000E+02   9.79906000E-03
-2.84806000E+00  -2.96333000E-02   2.91660000E+02   9.78894000E-03
-3.67223000E+00  -1.51712000E-01   2.91791000E+02   9.78121000E-03
-2.73934000E+00  -4.60879000E-01   2.91748000E+02   9.78059000E-03
-3.47284000E+00  -3.66488000E-01   2.91597000E+02   9.79114000E-03
-3.14138000E+00  -6.57042000E-01   2.91805000E+02   9.77680000E-03
-3.82230000E+00  -3.95954000E-01   2.92257000E+02   9.74020000E-03
-3.37549000E+00   5.74110000E-01   2.91689000E+02   9.78365000E-03
