     atm_u           atm_v           atm_T           atm_q           R_net     
-3.23220444E+00  -3.00424788E-02  2.93750000E+02  9.84066911E-03  -5.64766541E+01
-3.07715058E+00  1.23255188E-02  2.93449982E+02  9.84066911E-03  -5.58796997E+01
-3.09794283E+00  -1.44179491E-02  2.93350006E+02  9.90498159E-03  -5.82616882E+01
-2.86524844E+00  1.35055110E-01  2.93149994E+02  9.84066911E-03  -5.65926514E+01
-2.62417173E+00  1.36029169E-01  2.93049988E+02  9.84066911E-03  -5.51206055E+01
-2.72930861E+00  1.46255985E-01  2.92750000E+02  9.84163769E-03  -5.42457581E+01
-2.74887657E+00  7.85668865E-02  2.92649994E+02  9.84163769E-03  -5.51879272E+01
-2.64272904E+00  3.11111589E-03  2.92549988E+02  9.84163769E-03  -5.80919495E+01
-2.71944237E+00  -1.21698514E-01  2.92350006E+02  9.77865234E-03  -5.61297913E+01
-2.79278398E+00  -1.09803066E-01  2.92350006E+02  9.77865234E-03  -5.47638855E+01
-2.94391632E+00  -4.52490002E-02  2.92149994E+02  9.84260719E-03  -5.50630493E+01
-2.72611260E+00  9.31090042E-02  2.91850006E+02  9.97064821E-03  -5.37043152E+01
-2.86178231E+00  2.37676382E-01  2.91750000E+02  9.90693178E-03  -5.29043274E+01
-2.99909067E+00  4.30645436E-01  2.91549988E+02  9.90693178E-03  -5.61734619E+01
-3.63590384E+00  4.46753383E-01  2.91549988E+02  9.90693178E-03  -5.47226868E+01
-3.71394372E+00  5.14295340E-01  2.91549988E+02  9.90693178E-03  -5.48706970E+01
-3.39001036E+00  7.43102968E-01  2.91350006E+02  9.84260719E-03  -5.38316345E+01
-3.52071905E+00  9.07452047E-01  2.91149994E+02  9.90790874E-03  -5.75217285E+01
-3.82792735E+00  1.04157400E+00  2.91149994E+02  9.90790874E-03  -5.60329285E+01
-3.84064674E+00  1.00520599E+00  2.91149994E+02  9.90790874E-03  -5.61569519E+01
-3.45250082E+00  9.39675570E-01  2.91049988E+02  9.90790874E-03  -5.78478699E+01
-3.63622689E+00  9.70833480E-01  2.91049988E+02  9.90790874E-03  -5.31302185E+01
-3.44411969E+00  9.74438548E-01  2.90949982E+02  9.90693178E-03  -4.15162354E+01
-3.59688878E+00  1.14753067E+00  2.90850006E+02  9.84260719E-03  -3.66877747E+01
-3.30549097E+00  1.11206269E+00  2.90949982E+02  9.90595669E-03  -3.16463318E+01
-3.24934125E+00  9.98039067E-01  2.91049988E+02  9.97064821E-03  -2.34372559E+01
-3.26314735E+00  1.02667928E+00  2.91250000E+02  1.00357104E-02  -1.05437622E+01
-3.29627180E+00  9.88202572E-01  2.91449982E+02  1.01001561E-02  8.04473877E-01
-3.37305284E+00  9.87390518E-01  2.91649994E+02  1.01659661E-02  1.30188599E+01
-3.58194351E+00  1.11818326E+00  2.91949982E+02  1.01659661E-02  2.64405518E+01
-3.62333226E+00  1.21795380E+00  2.92250000E+02  1.02311475E-02  4.16780396E+01
-3.45807981E+00  1.17074692E+00  2.92549988E+02  1.02977129E-02  5.83610229E+01
-3.23701024E+00  1.12236834E+00  2.92750000E+02  1.04319938E-02  7.28953552E+01
-3.37064767E+00  1.16148746E+00  2.93149994E+02  1.04309665E-02  9.16346130E+01
-2.74794769E+00  1.18329120E+00  2.93549988E+02  1.04986830E-02  1.07512390E+02
-3.03663015E+00  1.51758623E+00  2.93850006E+02  1.04309665E-02  1.25054657E+02
-2.84677029E+00  1.33926380E+00  2.94049988E+02  1.04986830E-02  1.42431152E+02
-2.73124361E+00  1.38261986E+00  2.94350006E+02  1.05667841E-02  1.56585693E+02
-2.92793846E+00  1.67475450E+00  2.94649994E+02  1.05667841E-02  1.79030670E+02
-3.08462524E+00  1.81355739E+00  2.94850006E+02  1.04986830E-02  1.97648590E+02
-3.28382993E+00  1.70978928E+00  2.95149994E+02  1.06352782E-02  2.16058105E+02
-3.10395813E+00  1.69150782E+00  2.95449982E+02  1.07734464E-02  2.33961975E+02
-2.82863092E+00  1.75986302E+00  2.95850006E+02  1.07723866E-02  2.54431061E+02
-2.53877449E+00  1.67938685E+00  2.96149994E+02  1.07723866E-02  2.71494568E+02
-2.68989754E+00  1.41994858E+00  2.96449982E+02  1.08420588E-02  2.90220642E+02
-2.36006427E+00  1.70979822E+00  2.96750000E+02  1.10534737E-02  3.11195801E+02
-2.43013024E+00  1.07129204E+00  2.97149994E+02  1.11964401E-02  3.28481598E+02
-2.55472660E+00  1.24018371E+00  2.97250000E+02  1.11258486E-02  3.43341370E+02
-2.67023253E+00  5.98568141E-01  2.97449982E+02  1.12696458E-02  3.62475189E+02
-2.69576669E+00  5.80087483E-01  2.97850006E+02  1.13421557E-02  3.80950562E+02
-2.81512713E+00  6.78375661E-01  2.98250000E+02  1.12707559E-02  3.95198914E+02
-2.30014825E+00  4.27578479E-01  2.98449982E+02  1.14895543E-02  4.13887268E+02
-2.71817660E+00  -3.53569947E-02  2.98649994E+02  1.13432733E-02  4.28995972E+02
-2.14204860E+00  7.79740214E-01  2.98949982E+02  1.14895543E-02  4.44005585E+02
-2.05526471E+00  1.03137982E+00  2.99149994E+02  1.14173321E-02  4.58334137E+02
