     atm_u           atm_v           atm_T           atm_q           R_net     
 5.63203275E-01  7.66934824E+00  2.98019989E+02  8.20077211E-03  -6.35699997E+01
 2.12484211E-01  7.60703325E+00  2.98000000E+02  8.22066329E-03  -6.34003330E+01
 4.04559016E-01  7.71940613E+00  2.97970001E+02  8.24021455E-03  -6.32306664E+01
 1.21889189E-01  6.98293638E+00  2.97940002E+02  8.25336296E-03  -6.30609997E+01
 5.27077988E-02  7.54981613E+00  2.97889984E+02  8.28615110E-03  -6.28913330E+01
 2.59604990E-01  7.82569504E+00  2.97850006E+02  8.47671367E-03  -6.27216663E+01
 4.65906501E-01  7.40535831E+00  2.97720001E+02  8.61454476E-03  -6.25519997E+01
 6.69291019E-01  6.95085144E+00  2.97539978E+02  8.67342297E-03  -6.23823330E+01
 8.35079134E-01  7.56404257E+00  2.97399994E+02  8.64042062E-03  -6.22126663E+01
 8.41590643E-01  7.50294781E+00  2.97359985E+02  8.56758282E-03  -6.20429996E+01
 1.16806352E+00  7.45909691E+00  2.97350006E+02  8.53432901E-03  -6.18733330E+01
 1.10442829E+00  6.97307920E+00  2.97339996E+02  8.52108095E-03  -6.17036663E+01
 9.81421828E-01  7.55653381E+00  2.97320007E+02  8.52072518E-03  -6.15339996E+01
 1.32247806E+00  7.81894827E+00  2.97359985E+02  8.50090105E-03  -6.13643330E+01
 1.28636706E+00  7.85537148E+00  2.97389984E+02  8.48108158E-03  -6.11946663E+01
 1.07399619E+00  7.45301533E+00  2.97429993E+02  8.50063469E-03  -6.10249996E+01
 1.15413952E+00  7.37018061E+00  2.97389984E+02  8.52019154E-03  -6.08553329E+01
 1.35389435E+00  7.37678623E+00  2.97339996E+02  8.53992533E-03  -6.06856663E+01
 1.42013371E+00  8.13700294E+00  2.97350006E+02  8.55317153E-03  -6.05159996E+01
 1.22172546E+00  7.46062899E+00  2.97339996E+02  8.55272636E-03  -6.03463329E+01
 1.72516239E+00  8.04715538E+00  2.97339996E+02  8.55939463E-03  -6.01766663E+01
 1.60412073E+00  7.35715294E+00  2.97350006E+02  8.56552739E-03  -6.00069996E+01
 1.95420861E+00  7.34445858E+00  2.97329987E+02  8.57850444E-03  -5.98373329E+01
 1.90745115E+00  7.42903280E+00  2.97299988E+02  8.59130360E-03  -5.96676662E+01
 1.95160735E+00  7.38653040E+00  2.97279999E+02  8.59788246E-03  -5.94979996E+01
 1.61672425E+00  6.89293814E+00  2.97279999E+02  8.60446133E-03  -5.93283329E+01
 1.76260066E+00  7.88540649E+00  2.97260010E+02  8.63050763E-03  -5.91586662E+01
 1.89973378E+00  7.08989525E+00  2.97260010E+02  8.62437673E-03  -5.89889996E+01
 1.91996968E+00  6.97040987E+00  2.97269989E+02  8.63059703E-03  -5.88193329E+01
 2.19980216E+00  7.37908316E+00  2.97279999E+02  8.64357594E-03  -5.86496662E+01
 1.94210720E+00  7.09914207E+00  2.97279999E+02  8.64961278E-03  -5.84799995E+01
 2.32746291E+00  7.38176870E+00  2.97299988E+02  8.66268016E-03  -5.83633329E+01
 2.18266082E+00  7.32158375E+00  2.97329987E+02  8.68205726E-03  -5.82466662E+01
 2.44019008E+00  7.00727320E+00  2.97329987E+02  8.68863612E-03  -5.81299995E+01
 2.37062383E+00  7.21028757E+00  2.97329987E+02  8.69530719E-03  -5.80133329E+01
 2.31132221E+00  7.15598965E+00  2.97320007E+02  8.72180797E-03  -5.78966662E+01
 2.34842896E+00  7.05963755E+00  2.97320007E+02  8.74767546E-03  -5.77799995E+01
 2.17099786E+00  6.48843050E+00  2.97320007E+02  8.74100439E-03  -5.76633329E+01
 2.13568139E+00  6.42009497E+00  2.97279999E+02  8.75407364E-03  -5.75466662E+01
 2.31934214E+00  6.17050362E+00  2.97239990E+02  8.77363421E-03  -5.74299995E+01
 2.38159657E+00  6.76290607E+00  2.97220001E+02  8.79355986E-03  -5.73133329E+01
 2.01241326E+00  6.54144669E+00  2.97199982E+02  8.79282597E-03  -5.71966662E+01
 1.85092890E+00  6.24862814E+00  2.97139984E+02  8.80571268E-03  -5.70799995E+01
 2.09852791E+00  7.36693811E+00  2.97070007E+02  8.83157738E-03  -5.69633329E+01
 2.07412767E+00  7.09296083E+00  2.97010010E+02  8.83120857E-03  -5.68466662E+01
 2.13011599E+00  7.19114780E+00  2.96989990E+02  8.83751269E-03  -5.67299995E+01
 2.02914333E+00  7.57285786E+00  2.96940002E+02  8.84418562E-03  -5.66133329E+01
 2.11784816E+00  7.05915117E+00  2.96919983E+02  8.83074757E-03  -5.64966662E+01
 1.89448464E+00  7.43235016E+00  2.96880005E+02  8.81767925E-03  -5.63799995E+01
 2.02765632E+00  7.26224566E+00  2.96850006E+02  8.81731231E-03  -5.62633329E+01
 1.88542223E+00  7.18679905E+00  2.96799988E+02  8.81036278E-03  -5.61466662E+01
 1.77098501E+00  6.94784212E+00  2.96760010E+02  8.81027151E-03  -5.60299995E+01
 1.89961529E+00  6.75809574E+00  2.96699982E+02  8.81666783E-03  -5.59133329E+01
 1.85453796E+00  7.01913786E+00  2.96639984E+02  8.81676003E-03  -5.57966662E+01
 1.62842155E+00  6.12005997E+00  2.96579987E+02  8.81657563E-03  -5.56799995E+01
 1.33915985E+00  6.30024862E+00  2.96519989E+02  8.82306322E-03  -5.55633329E+01
 1.48075902E+00  6.62452269E+00  2.96479980E+02  8.83603748E-03  -5.54466662E+01
 1.46991146E+00  6.74161434E+00  2.96449982E+02  8.84938240E-03  -5.53299995E+01
 1.29149306E+00  6.40509176E+00  2.96440002E+02  8.84215720E-03  -5.52133329E+01
