Millis,Month,Day,Year,Hour,Minute,Second,SHT Amb,Rel Hum,Pressure,BMP Amb,IR,TN9 Amb,Soil Lower Temp,Soil Lower Mois,Soil Upper Temp,Soil Upper Mois,Sunlight
1948064583,5,17,2013,0,0,11,17.4400,38.27,86100.00,18.20,15.10,17.48,21.80,0.48052,20.50,0.14248,0.00
1948074816,5,17,2013,0,0,21,17.4500,38.24,86111.00,18.20,15.10,17.41,21.80,0.48013,20.40,0.14248,0.00
1948085029,5,17,2013,0,0,31,17.4400,38.17,86103.00,18.20,15.10,17.48,21.80,0.48000,20.50,0.14291,0.00
1948095242,5,17,2013,0,0,42,17.4600,38.17,86112.00,18.20,15.10,17.48,21.80,0.48000,20.50,0.14248,0.00
1948105461,5,17,2013,0,0,52,17.4900,38.11,86106.00,18.20,15.10,17.48,21.80,0.48026,20.40,0.14248,0.00
1948115675,5,17,2013,0,1,2,17.5100,38.05,86107.00,18.20,15.10,17.48,21.80,0.48000,20.40,0.14248,0.00
1948125889,5,17,2013,0,1,12,17.5200,38.01,86113.00,18.20,15.10,17.48,21.80,0.48013,20.50,0.14248,0.00
1948136101,5,17,2013,0,1,23,17.5200,38.05,86112.00,18.20,15.10,17.48,21.80,0.48013,20.40,0.14248,0.00
1948146315,5,17,2013,0,1,33,17.5000,38.11,86110.00,18.20,15.10,17.48,21.80,0.48026,20.40,0.14248,0.00
1948156534,5,17,2013,0,1,43,17.4900,38.08,86109.00,18.20,15.10,17.48,21.80,0.48013,20.40,0.14248,0.00
1948166747,5,17,2013,0,1,53,17.4800,38.11,86101.00,18.20,15.10,17.48,21.80,0.48039,20.40,0.14248,0.00
1948176311,5,17,2013,0,2,3,17.4900,38.05,86112.00,18.20,15.10,17.48,21.80,0.48039,20.40,0.14248,0.00
1948185876,5,17,2013,0,2,12,17.4900,38.11,86113.00,18.20,15.10,17.48,21.80,0.48026,20.40,0.14248,0.00
1948196150,5,17,2013,0,2,23,17.4800,38.11,86111.00,18.20,15.10,17.48,21.80,0.48039,20.40,0.14205,0.00
1948206384,5,17,2013,0,2,33,17.4700,38.18,86110.00,18.20,15.10,17.48,21.80,0.48026,20.40,0.14248,0.00
1948216597,5,17,2013,0,2,43,17.4500,38.17,86108.00,18.20,15.10,17.54,21.80,0.48039,20.40,0.14248,0.00
1948226812,5,17,2013,0,2,53,17.4400,38.21,86115.00,18.20,15.10,17.48,21.80,0.48039,20.40,0.14248,0.00
1948237027,5,17,2013,0,3,3,17.4300,38.21,86105.00,18.20,15.10,17.48,21.80,0.48026,20.40,0.14248,0.00
1948247242,5,17,2013,0,3,14,17.4600,38.11,86103.00,18.20,15.10,17.54,21.80,0.48026,20.40,0.14248,0.00
1948257462,5,17,2013,0,3,24,17.4700,38.11,86109.00,18.20,15.10,17.48,21.80,0.48026,20.40,0.14248,0.00
1948267674,5,17,2013,0,3,34,17.4600,38.11,86104.00,18.20,15.10,17.54,21.80,0.48013,20.40,0.14248,0.00
1948277238,5,17,2013,0,3,44,17.4600,38.14,86108.00,18.20,15.10,17.54,21.80,0.48026,20.40,0.14248,0.00
1948286803,5,17,2013,0,3,53,17.4500,38.11,86104.00,18.20,15.10,17.54,21.80,0.48078,20.40,0.14248,0.00
1948296369,5,17,2013,0,4,3,17.4600,38.11,86100.00,18.20,15.10,17.54,21.80,0.48052,20.40,0.14248,0.00
1948305940,5,17,2013,0,4,12,17.4600,38.11,86113.00,18.20,15.10,17.54,21.80,0.48013,20.40,0.14248,0.00
1948315503,5,17,2013,0,4,22,17.4700,38.11,86102.00,18.20,15.10,17.54,21.80,0.48065,20.40,0.14248,0.00
1948325068,5,17,2013,0,4,31,17.4600,38.11,86109.00,18.20,15.10,17.54,21.80,0.48039,20.40,0.14205,0.00
1948334632,5,17,2013,0,4,41,17.4500,38.14,86109.00,18.20,15.10,17.54,21.80,0.48026,20.40,0.14248,0.00
1948344196,5,17,2013,0,4,51,17.4400,38.17,86113.00,18.20,15.10,17.54,21.80,0.48026,20.40,0.14248,0.00
1948353768,5,17,2013,0,5,0,17.4400,38.17,86110.00,18.20,15.10,17.54,21.80,0.48039,20.40,0.14248,0.00
1948363332,5,17,2013,0,5,10,17.4200,38.17,86103.00,18.20,15.10,17.54,21.80,0.48000,20.40,0.14248,0.00
1948372896,5,17,2013,0,5,19,17.4300,38.24,86109.00,18.20,15.10,17.54,21.80,0.48026,20.40,0.14248,0.00
1948382461,5,17,2013,0,5,29,17.4100,38.27,86105.00,18.20,15.10,17.54,21.80,0.48013,20.40,0.14248,0.00
1948392026,5,17,2013,0,5,38,17.4000,38.30,86097.00,18.20,15.10,17.54,21.80,0.48052,20.40,0.14248,0.00
1948401655,5,17,2013,0,5,48,17.3900,38.30,86106.00,18.20,15.10,17.54,21.80,0.48026,20.40,0.14248,0.00
1948411219,5,17,2013,0,5,58,17.3800,38.30,86102.00,18.20,15.10,17.54,21.80,0.47987,20.40,0.14248,0.00
1948420786,5,17,2013,0,6,7,17.3800,38.30,86112.00,18.20,15.10,17.54,21.80,0.48026,20.40,0.14205,0.00
1948430351,5,17,2013,0,6,17,17.3900,38.30,86099.00,18.20,15.10,17.54,21.80,0.48026,20.40,0.14248,0.00
1948439915,5,17,2013,0,6,26,17.3900,38.23,86106.00,18.20,15.10,17.54,21.80,0.48052,20.40,0.14248,0.00
1948449506,5,17,2013,0,6,36,17.3800,38.23,86109.00,18.20,15.10,17.54,21.80,0.48013,20.40,0.14248,0.00
1948459070,5,17,2013,0,6,45,17.3900,38.24,86108.00,18.20,15.10,17.54,21.80,0.48026,20.40,0.14248,0.00
1948468635,5,17,2013,0,6,55,17.4000,38.20,86112.00,18.30,15.10,17.54,21.80,0.47987,20.40,0.14248,0.00
1948478200,5,17,2013,0,7,4,17.4000,38.20,86114.00,18.20,15.10,17.54,21.80,0.48039,20.40,0.14248,0.00
1948487764,5,17,2013,0,7,14,17.4000,38.17,86111.00,18.30,15.10,17.48,21.80,0.48026,20.40,0.14248,0.00
1948497337,5,17,2013,0,7,24,17.4300,38.04,86105.00,18.20,15.10,17.48,21.80,0.48052,20.40,0.14248,0.00
1948506902,5,17,2013,0,7,33,17.4400,38.01,86108.00,18.20,15.10,17.54,21.80,0.48000,20.40,0.14248,0.00
1948516467,5,17,2013,0,7,43,17.4400,38.04,86104.00,18.20,15.10,17.54,21.80,0.48026,20.40,0.14248,0.00
1948526030,5,17,2013,0,7,52,17.4500,37.97,86094.00,18.20,15.10,17.48,21.80,0.48052,20.40,0.14248,0.00
1948535596,5,17,2013,0,8,2,17.4900,37.78,86098.00,18.20,15.10,17.54,21.80,0.48013,20.40,0.14248,0.00
1948545167,5,17,2013,0,8,11,17.5100,37.78,86109.00,18.30,15.41,17.54,21.80,0.48013,20.40,0.14248,0.00
1948554730,5,17,2013,0,8,21,17.5300,37.71,86114.00,18.30,15.41,17.54,21.80,0.48013,20.40,0.14248,0.00
1948564294,5,17,2013,0,8,31,17.5200,37.71,86097.00,18.20,15.41,17.54,21.80,0.48052,20.40,0.14248,0.00
1948573857,5,17,2013,0,8,40,17.5200,37.71,86108.00,18.30,15.41,17.54,21.80,0.48026,20.40,0.14248,0.00
1948583422,5,17,2013,0,8,50,17.5300,37.65,86104.00,18.30,15.41,17.54,21.80,0.47987,20.40,0.14248,0.00
1948592999,5,17,2013,0,8,59,17.5300,37.65,86108.00,18.30,15.41,17.54,21.80,0.48000,20.40,0.14248,0.00
1948602621,5,17,2013,0,9,9,17.5300,37.65,86096.00,18.30,15.41,17.54,21.80,0.48039,20.40,0.14248,0.00
1948612186,5,17,2013,0,9,18,17.5600,37.58,86106.00,18.30,15.41,17.54,21.80,0.48013,20.40,0.14248,0.00
1948621751,5,17,2013,0,9,28,17.5600,37.52,86102.00,18.30,15.41,17.54,21.80,0.48039,20.40,0.14248,0.00
1948631316,5,17,2013,0,9,38,17.5800,37.52,86106.00,18.30,15.41,17.54,21.80,0.48039,20.40,0.14248,0.00
1948640887,5,17,2013,0,9,47,17.5600,37.55,86110.00,18.30,15.41,17.54,21.80,0.48013,20.40,0.14205,0.00
1948650450,5,17,2013,0,9,57,17.5600,37.58,86111.00,18.30,15.41,17.54,21.80,0.48039,20.40,0.14248,0.00
1948660016,5,17,2013,0,10,6,17.5600,37.52,86099.00,18.30,15.41,17.54,21.80,0.48013,20.40,0.14248,0.00
1948669579,5,17,2013,0,10,16,17.5600,37.55,86111.00,18.30,15.41,17.54,21.80,0.48026,20.40,0.14248,0.00
1948679144,5,17,2013,0,10,25,17.5600,37.55,86102.00,18.30,15.41,17.54,21.80,0.48013,20.40,0.14248,0.00
1948688715,5,17,2013,0,10,35,17.5300,37.58,86100.00,18.30,15.41,17.54,21.80,0.47974,20.40,0.14248,0.00
1948698280,5,17,2013,0,10,44,17.5600,37.52,86110.00,18.30,15.41,17.54,21.80,0.48026,20.40,0.14205,0.00
1948707845,5,17,2013,0,10,54,17.5500,37.52,86098.00,18.30,15.41,17.54,21.80,0.48052,20.40,0.14248,0.00
1948717408,5,17,2013,0,11,4,17.5800,37.48,86116.00,18.30,15.41,17.54,21.80,0.48013,20.40,0.14248,0.00
1948726972,5,17,2013,0,11,13,17.5800,37.45,86107.00,18.30,15.41,17.54,21.80,0.48026,20.40,0.14248,0.00
1948736541,5,17,2013,0,11,23,17.5800,37.45,86110.00,18.30,15.41,17.54,21.80,0.47987,20.40,0.14248,0.00
1948746105,5,17,2013,0,11,32,17.5800,37.45,86108.00,18.30,15.41,17.60,21.80,0.48013,20.40,0.14248,0.00
1948755670,5,17,2013,0,11,42,17.5900,37.38,86114.00,18.30,15.41,17.60,21.80,0.48026,20.40,0.14248,0.00
1948765234,5,17,2013,0,11,51,17.5900,37.42,86106.00,18.30,15.41,17.60,21.80,0.48039,20.40,0.14248,0.00
1948774798,5,17,2013,0,12,1,17.6200,37.39,86111.00,18.30,15.41,17.60,21.80,0.47987,20.40,0.14248,0.00
1948784369,5,17,2013,0,12,10,17.6100,37.32,86102.00,18.30,15.41,17.60,21.80,0.48013,20.40,0.14248,0.00
1948793932,5,17,2013,0,12,20,17.6300,37.29,86111.00,18.30,15.41,17.60,21.80,0.48026,20.40,0.14248,0.00
1948804206,5,17,2013,0,12,30,17.6200,37.32,86109.00,18.30,15.41,17.60,21.80,0.48000,20.40,0.14248,0.00
1948814434,5,17,2013,0,12,41,17.6200,37.39,86109.00,18.30,15.41,17.60,21.80,0.48013,20.40,0.14205,0.00
1948824680,5,17,2013,0,12,51,17.6200,37.39,86116.00,18.30,15.41,17.60,21.80,0.48039,20.40,0.14248,0.00
1948834893,5,17,2013,0,13,1,17.6000,37.39,86112.00,18.30,15.41,17.60,21.80,0.48013,20.40,0.14205,0.00
1948845106,5,17,2013,0,13,11,17.6000,37.42,86107.00,18.30,15.41,17.60,21.80,0.48026,20.40,0.14248,0.00
1948855329,5,17,2013,0,13,21,17.6000,37.38,86110.00,18.30,15.41,17.60,21.80,0.48000,20.40,0.14205,0.00
1948865543,5,17,2013,0,13,32,17.6000,37.39,86108.00,18.30,15.41,17.60,21.80,0.48013,20.40,0.14248,0.00
1948875762,5,17,2013,0,13,42,17.6000,37.35,86110.00,18.30,15.41,17.60,21.80,0.48000,20.40,0.14248,0.00
1948885976,5,17,2013,0,13,52,17.6100,37.39,86108.00,18.30,15.41,17.66,21.80,0.48039,20.40,0.14205,0.00
1948896190,5,17,2013,0,14,2,17.5900,37.39,86109.00,18.30,15.41,17.66,21.80,0.48013,20.40,0.14248,0.00
1948906404,5,17,2013,0,14,12,17.6200,37.32,86100.00,18.30,15.41,17.66,21.80,0.48013,20.40,0.14248,0.00
1948916618,5,17,2013,0,14,23,17.6200,37.32,86107.00,18.30,15.41,17.66,21.80,0.48026,20.40,0.14248,0.00
1948926189,5,17,2013,0,14,32,17.6300,37.29,86108.00,18.30,15.41,17.66,21.80,0.48013,20.40,0.14248,0.00
1948935753,5,17,2013,0,14,42,17.6200,37.32,86105.00,18.30,15.41,17.66,21.80,0.48026,20.40,0.14248,0.00
1948945317,5,17,2013,0,14,51,17.6000,37.35,86110.00,18.30,15.41,17.66,21.80,0.47987,20.40,0.14248,0.00
1948954882,5,17,2013,0,15,1,17.6200,37.32,86105.00,18.30,15.41,17.66,21.80,0.48000,20.40,0.14248,0.00
1948964447,5,17,2013,0,15,10,17.6200,37.32,86105.00,18.30,15.41,17.66,21.80,0.48000,20.40,0.14248,0.00
1948974017,5,17,2013,0,15,20,17.6000,37.35,86109.00,18.30,15.41,17.66,21.80,0.48000,20.40,0.14248,0.00
1948983582,5,17,2013,0,15,30,17.6100,37.35,86112.00,18.30,15.41,17.66,21.80,0.48000,20.40,0.14248,0.00
1948993146,5,17,2013,0,15,39,17.6000,37.39,86113.00,18.30,15.41,17.66,21.80,0.48013,20.40,0.14248,0.00
1949002712,5,17,2013,0,15,49,17.6000,37.38,86108.00,18.30,15.41,17.66,21.80,0.48013,20.30,0.14248,0.00
