YEAR MO DA HH MM   SW_IN  SW_OUT   LW_IN  LW_OUT  NETRAD     GHF       H      LE    T_IR T_LWOUT   T-1.6   T-3.9   T-5.8   T-8.5  T-10.4    T-15    T-25    T-70   ThCon   ThDif   vhcap     VWC   SIGMA     TSM     EPS    MHFP   HS_BG  HS_TAV     ZEN     ETR     OAM   G1_TG   G2_TG   G1_AV   G2_AV
2013 05 01 00 05   453.7  -117.7   268.5  -427.8   176.7    28.0    -NaN    -NaN    18.0    21.6    19.0    17.7    18.2    18.2    18.0    17.5    15.3    11.7     0.8     0.5     1.6     0.2     0.2    22.0    10.5   -16.0    26.5    44.1    63.7   597.4     2.2    14.4     6.5    33.6    22.4
2013 05 01 00 10   435.2  -113.3   267.7  -425.8   163.9    36.7    -NaN    -NaN    17.6    21.2    18.8    17.5    18.1    18.1    17.9    17.4    15.3    11.7    -NaN    -NaN    -NaN     0.2     0.2    21.9    10.5   -13.6    32.2    50.3    64.6   577.2     2.3    22.8    14.5    42.7    30.7
2013 05 01 00 15   417.6  -108.9   267.1  -423.0   152.9    49.3    -NaN    -NaN    17.4    20.7    18.6    17.4    18.0    18.1    17.9    17.5    15.4    11.7    -NaN    -NaN    -NaN     0.2     0.2    21.8    10.5   -11.1    38.5    60.3    65.6   556.9     2.4    31.8    23.1    55.7    42.8
2013 05 01 00 20   400.4  -104.7   265.8  -420.3   141.2    59.9    -NaN    -NaN    17.1    20.3    18.4    17.2    17.9    18.0    17.9    17.5    15.4    11.7    -NaN    -NaN    -NaN     0.2     0.2    21.7    10.5    -8.6    43.9    68.5    66.5   536.3     2.5    39.9    30.8    66.9    52.9
2013 05 01 00 25   380.6  -100.0   265.7  -419.4   126.9    62.7    -NaN    -NaN    17.0    20.1    18.1    17.0    17.9    18.0    17.9    17.5    15.4    11.7    -NaN    -NaN    -NaN     0.2     0.2    21.6    10.4    -5.9    43.3    68.6    67.5   515.7     2.6    41.9    32.8    69.6    55.7
2013 05 01 00 30   363.8   -95.5   264.2  -415.7   116.9    63.6    -NaN    -NaN    16.7    19.5    18.0    16.9    17.8    17.9    17.9    17.5    15.4    11.7    -NaN    -NaN    -NaN     0.2     0.2    21.4    10.4    -3.5    41.5    67.2    68.4   494.9     2.7    42.6    33.3    70.6    56.6
2013 05 01 00 35   345.6   -90.9   263.6  -413.9   104.4    63.6    -NaN    -NaN    16.5    19.1    17.8    16.8    17.7    17.9    17.9    17.5    15.4    11.7    -NaN    -NaN    -NaN     0.2     0.2    21.3    10.4    -1.1    39.9    64.7    69.4   473.9     2.8    43.6    34.0    70.7    56.6
2013 05 01 00 40   327.9   -86.4   262.1  -410.3    93.3    65.0    -NaN    -NaN    16.2    18.5    17.6    16.7    17.6    17.9    17.9    17.5    15.5    11.8    -NaN    -NaN    -NaN     0.2     0.2    21.2    10.4     1.4    38.5    63.6    70.4   452.9     2.9    44.8    34.9    72.1    57.8
2013 05 01 00 45   310.2   -81.9   261.6  -408.7    81.2    70.0    -NaN    -NaN    16.0    18.2    17.4    16.6    17.5    17.8    17.8    17.5    15.5    11.8    -NaN    -NaN    -NaN     0.2     0.2    21.1    10.4     3.9    37.7    66.1    71.3   431.7     3.1    46.7    36.5    77.4    62.6
2013 05 01 00 50   292.1   -77.2   260.9  -406.0    69.8    70.7    -NaN    -NaN    15.8    17.8    17.2    16.5    17.4    17.8    17.8    17.5    15.5    11.8    -NaN    -NaN    -NaN     0.2     0.2    20.9    10.4     6.2    36.3    64.5    72.3   410.5     3.2    47.5    37.6    78.0    63.4
2013 05 01 00 55   273.1   -72.3   260.6  -404.3    57.1    72.0    -NaN    -NaN    15.6    17.4    17.1    16.4    17.3    17.7    17.8    17.5    15.5    11.8    -NaN    -NaN    -NaN     0.2     0.2    20.8    10.4     8.3    35.3    63.6    73.2   389.1     3.4    48.4    38.8    79.1    64.9
2013 05 01 01 00   255.2   -67.8   260.0  -401.9    45.4    71.7    -NaN    -NaN    15.4    17.0    16.9    16.3    17.3    17.7    17.8    17.5    15.6    11.8    -NaN    -NaN    -NaN     0.2     0.2    20.6    10.3    10.2    34.5    61.5    74.2   367.7     3.6    49.1    40.2    78.5    65.0
2013 05 01 01 05   236.3   -63.0   259.9  -400.0    33.3    72.0    -NaN    -NaN    15.2    16.7    16.7    16.2    17.2    17.7    17.7    17.5    15.6    11.8    -NaN    -NaN    -NaN     0.2     0.2    20.5    10.3    11.9    34.5    60.2    75.1   346.2     3.8    50.6    42.0    78.5    65.6
2013 05 01 01 10   215.0   -57.5   259.9  -398.2    19.2    72.6    -NaN    -NaN    15.0    16.3    16.6    16.1    17.1    17.6    17.7    17.5    15.6    11.8    -NaN    -NaN    -NaN     0.2     0.2    20.3    10.3    13.4    35.0    59.2    76.1   324.6     4.1    52.4    44.6    78.6    66.7
2013 05 01 01 15   197.9   -53.2   259.4  -395.2     8.9    74.3    -NaN    -NaN    14.8    15.8    16.4    16.0    17.1    17.6    17.7    17.5    15.6    11.8    -NaN    -NaN    -NaN     0.2     0.2    20.2    10.3    15.1    34.9    59.2    77.0   303.0     4.4    53.4    46.5    79.8    68.8
2013 05 01 01 20   181.1   -49.1   259.1  -393.1    -2.0    75.6    -NaN    -NaN    14.6    15.4    16.2    16.0    17.0    17.5    17.7    17.5    15.6    11.8    -NaN    -NaN    -NaN     0.2     0.2    20.0    10.3    16.9    33.9    58.7    77.9   281.4     4.7    53.6    48.1    80.4    70.8
2013 05 01 01 25   163.8   -44.9   258.9  -391.0   -13.2    77.0    -NaN    -NaN    14.4    15.0    16.1    15.9    16.9    17.5    17.6    17.4    15.6    11.8    -NaN    -NaN    -NaN     0.2     0.2    19.9    10.3    18.9    33.4    58.1    78.9   259.8     5.0    54.3    50.3    81.0    73.0
2013 05 01 01 30   144.9   -40.3   258.5  -389.1   -25.9    79.2    -NaN    -NaN    14.2    14.7    15.9    15.8    16.8    17.4    17.6    17.4    15.6    11.8    -NaN    -NaN    -NaN     0.2     0.2    19.7    10.2    20.9    33.0    58.3    79.8   238.1     5.5    55.0    52.7    82.4    76.0
2013 05 01 01 35   121.0   -33.8   258.5  -386.9   -41.2    80.6    -NaN    -NaN    13.9    14.3    15.8    15.7    16.7    17.4    17.5    17.4    15.6    11.8    -NaN    -NaN    -NaN     0.2     0.2    19.6    10.2    22.7    33.1    57.9    80.8   216.4     6.0    56.3    55.5    83.0    78.3
2013 05 01 01 40   107.2   -30.4   258.2  -384.4   -49.4    82.4    -NaN    -NaN    13.6    13.8    15.6    15.5    16.7    17.3    17.5    17.4    15.7    11.8    -NaN    -NaN    -NaN     0.2     0.2    19.4    10.2    24.4    33.4    58.1    81.7   194.7     6.6    57.3    58.2    84.0    80.8
2013 05 01 01 45    92.8   -26.6   257.4  -381.3   -57.7    84.4    -NaN    -NaN    13.2    13.2    15.5    15.3    16.6    17.3    17.5    17.4    15.7    11.8    -NaN    -NaN    -NaN     0.2     0.2    19.2    10.2    25.9    33.7    58.5    82.6   173.1     7.3    58.3    61.0    85.1    83.7
2013 05 01 01 50    77.4   -22.6   257.0  -378.9   -67.1    86.3    -NaN    -NaN    12.8    12.8    15.3    15.0    16.5    17.2    17.4    17.4    15.7    11.8    -NaN    -NaN    -NaN     0.2     0.2    19.1    10.2    27.5    34.8    58.8    83.5   151.4     8.2    60.0    64.5    86.0    86.6
2013 05 01 01 55    62.9   -18.9   256.1  -376.5   -76.4    88.9    -NaN    -NaN    12.4    12.3    15.2    14.8    16.4    17.2    17.4    17.4    15.7    11.8    -NaN    -NaN    -NaN     0.2     0.2    18.9    10.1    29.3    36.0    59.6    84.5   129.8     9.3    62.2    68.4    87.8    90.0
2013 05 01 02 00    52.5   -16.3   255.5  -374.4   -82.8    92.3    -NaN    -NaN    12.1    11.9    15.0    14.5    16.3    17.1    17.4    17.4    15.7    11.8    -NaN    -NaN    -NaN     0.2     0.2    18.7    10.1    31.2    37.8    61.2    85.4   108.3    10.8    65.1    72.7    90.5    94.2
2013 05 01 02 05    41.5   -13.4   255.3  -372.7   -89.2    94.3    -NaN    -NaN    11.7    11.6    14.8    14.3    16.2    17.0    17.3    17.3    15.7    11.9    -NaN    -NaN    -NaN     0.2     0.2    18.5    10.1    33.0    39.0    61.3    86.3    86.8    12.7    67.5    76.4    91.7    96.8
2013 05 01 02 10    30.1   -10.0   255.0  -370.9   -95.8    95.1    -NaN    -NaN    11.3    11.2    14.6    14.0    16.1    17.0    17.3    17.3    15.7    11.9    -NaN    -NaN    -NaN     0.2     0.2    18.3    10.1    34.8    39.6    60.3    87.2    65.3    15.3    69.3    79.4    91.8    98.4
2013 05 01 02 15    20.2    -6.8   254.5  -369.1  -101.1    96.0    -NaN    -NaN    10.9    10.9    14.5    13.8    16.0    16.9    17.2    17.3    15.8    11.8    -NaN    -NaN    -NaN     0.2     0.2    18.2    10.0    36.4    39.9    59.5    88.1    44.0    19.0    70.8    81.9    92.1    99.8
2013 05 01 02 20    12.3    -3.9   254.3  -367.4  -104.7    96.4    -NaN    -NaN    10.5    10.6    14.3    13.6    15.9    16.8    17.1    17.3    15.8    11.8    -NaN    -NaN    -NaN     0.2     0.2    18.0    10.0    38.0    39.9    58.4    89.0    22.7    24.4    72.0    83.9    92.1   100.7
2013 05 01 02 25     6.3    -1.7   254.1  -365.9  -107.3    96.9    -NaN    -NaN    10.2    10.3    14.1    13.4    15.8    16.7    17.1    17.2    15.8    11.8    -NaN    -NaN    -NaN     0.2     0.2    17.8    10.0    39.5    39.6    57.5    89.9     3.5    32.4    72.8    85.4    92.2   101.7
