YEAR MO DA HH MM     P    u10m  d10m    T2m   RH2m      NR  VWC-7   T-1.6   T-3.9   T-5.8   T-8.5  T-10.4    T-15    T-25    T-70       
2013 05 13 12 00   870.1   3.1  118.  13.23    39.   -56.1    0.2   12.09   12.36   15.13   16.74   17.12   18.53   19.16   14.51
2013 05 13 12 05   870.1   3.4  115.  13.22    39.   -56.9    0.2   12.03   12.29   15.07   16.68   17.08   18.51   19.15   14.51
2013 05 13 12 10   870.1   3.4  117.  12.91    40.   -57.6    0.2   11.98   12.24   15.02   16.63   17.02   18.47   19.14   14.52
2013 05 13 12 15   870.1   3.5  125.  12.34    41.   -58.1    0.2   11.97   12.23   14.97   16.59   16.97   18.42   19.10   14.51
2013 05 13 12 20   870.1   3.6  129.  12.83    40.   -58.3    0.2   11.93   12.19   14.92   16.53   16.91   18.37   19.07   14.49
2013 05 13 12 25   870.2   3.0  137.  12.96    40.   -57.2    0.2   11.92   12.17   14.88   16.49   16.86   18.33   19.05   14.50
2013 05 13 12 30   870.3   2.2  172.  12.37    42.   -56.1    0.2   11.91   12.17   14.84   16.45   16.82   18.29   19.03   14.50
2013 05 13 12 35   870.3   2.6  171.  12.72    41.   -53.1    0.2   11.89   12.17   14.79   16.40   16.77   18.24   19.00   14.49
2013 05 13 12 40   870.4   2.5  175.  12.77    40.   -50.6    0.2   11.87   12.19   14.75   16.35   16.72   18.20   18.97   14.47
2013 05 13 12 45   870.4   2.2  161.  12.99    40.   -44.9    0.2   11.88   12.24   14.72   16.32   16.68   18.16   18.96   14.48
2013 05 13 12 50   870.5   1.9  162.  13.20    39.   -38.1    0.2   11.88   12.32   14.71   16.28   16.64   18.13   18.94   14.49
2013 05 13 12 55   870.5   1.8  167.  13.60    38.   -32.5    0.2   11.89   12.43   14.68   16.25   16.59   18.09   18.92   14.49
2013 05 13 13 00   870.6   2.0  141.  13.99    37.   -21.2    0.2   11.90   12.56   14.67   16.22   16.55   18.05   18.90   14.48
2013 05 13 13 05   870.6   2.4  136.  14.23    36.   -17.8    0.2   11.95   12.74   14.67   16.18   16.50   18.00   18.87   14.47
2013 05 13 13 10   870.7   1.8  148.  14.19    37.    -5.2    0.2   12.02   12.92   14.65   16.14   16.45   17.95   18.83   14.46
2013 05 13 13 15   870.8   1.1  199.  14.03    39.     4.9    0.2   12.15   13.19   14.65   16.10   16.41   17.90   18.79   14.44
2013 05 13 13 20   870.8   1.7  157.  14.49    37.    13.7    0.2   12.33   13.53   14.69   16.10   16.37   17.85   18.76   14.44
2013 05 13 13 25   870.8   1.0  172.  14.97    37.    24.0    0.2   12.52   13.89   14.74   16.09   16.33   17.80   18.73   14.43
2013 05 13 13 30   870.9   1.2  171.  15.46    36.    34.8    0.2   12.75   14.30   14.80   16.08   16.30   17.75   18.70   14.41
2013 05 13 13 35   871.0   1.3  178.  16.06    35.    45.4    0.2   13.02   14.77   14.86   16.07   16.26   17.69   18.66   14.39
2013 05 13 13 40   871.0   1.5  161.  16.57    35.    54.9    0.2   13.33   15.29   14.95   16.08   16.24   17.64   18.62   14.37
2013 05 13 13 45   871.0   1.8  169.  17.05    34.    63.2    0.2   13.65   15.83   15.05   16.08   16.22   17.59   18.58   14.35
2013 05 13 13 50   871.0   2.1  169.  17.54    34.    75.3    0.2   13.99   16.39   15.18   16.10   16.22   17.54   18.54   14.34
2013 05 13 13 55   871.0   2.2  166.  17.90    33.    86.0    0.2   14.33   16.88   15.33   16.14   16.23   17.50   18.52   14.33
2013 05 13 14 00   871.0   2.0  172.  18.10    32.    95.9    0.2   14.70   17.47   15.47   16.17   16.25   17.46   18.48   14.32
2013 05 13 14 05   871.1   1.9  181.  18.32    32.   106.8    0.2   15.11   18.09   15.63   16.21   16.27   17.42   18.45   14.31
2013 05 13 14 10   871.1   1.6  188.  18.61    31.   117.6    0.2   15.54   18.68   15.82   16.26   16.30   17.38   18.41   14.29
2013 05 13 14 15   871.1   1.6  192.  18.97    30.   125.5    0.2   16.01   19.30   16.03   16.34   16.36   17.35   18.39   14.29
2013 05 13 14 20   871.1   1.8  190.  19.45    30.   136.9    0.2   16.52   19.93   16.26   16.42   16.42   17.33   18.37   14.29
2013 05 13 14 25   871.1   2.3  188.  19.75    29.   146.8    0.2   17.03   20.52   16.48   16.51   16.48   17.31   18.34   14.29
2013 05 13 14 30   871.1   2.4  188.  20.13    28.   158.0    0.2   17.50   21.05   16.72   16.59   16.54   17.29   18.31   14.28
2013 05 13 14 35   871.2   2.1  195.  20.39    28.   169.6    0.2   17.98   21.59   16.96   16.69   16.62   17.26   18.29   14.28
2013 05 13 14 40   871.2   1.7  173.  20.64    27.   180.9    0.2   18.48   22.17   17.22   16.81   16.70   17.25   18.27   14.27
2013 05 13 14 45   871.1   1.2  168.  21.22    27.   190.0    0.2   19.03   22.83   17.48   16.94   16.80   17.24   18.24   14.27
2013 05 13 14 50   871.1   1.7  165.  21.69    26.   201.2    0.2   19.60   23.47   17.75   17.06   16.89   17.23   18.21   14.26
2013 05 13 14 55   871.0   2.0  151.  22.11    25.   204.7    0.2   20.15   24.09   18.03   17.18   16.99   17.21   18.19   14.25
2013 05 13 15 00   871.0   3.1  148.  22.61    25.   190.8    0.2   20.70   24.62   18.31   17.31   17.08   17.20   18.16   14.24
2013 05 13 15 05   871.0   5.1  139.  23.31    22.   212.5    0.2   21.16   25.00   18.58   17.45   17.19   17.20   18.13   14.24
2013 05 13 15 10   870.9   5.8  148.  23.74    21.   227.6    0.2   21.57   25.35   18.83   17.59   17.30   17.19   18.11   14.23
2013 05 13 15 15   870.9   5.5  151.  23.86    21.   236.9    0.2   21.97   25.68   19.09   17.75   17.44   17.22   18.11   14.25
2013 05 13 15 20   870.9   6.4  145.  24.06    21.   264.3    0.2   22.35   26.08   19.31   17.90   17.56   17.22   18.09   14.25
2013 05 13 15 25   870.9   6.1  139.  24.22    21.   273.0    0.2   22.81   26.61   19.55   18.04   17.68   17.23   18.07   14.25
2013 05 13 15 30   870.9   6.6  137.  24.41    21.   285.7    0.2   23.28   27.05   19.78   18.19   17.80   17.24   18.05   14.25
2013 05 13 15 35   870.9   6.9  138.  24.59    20.   296.6    0.2   23.71   27.48   20.01   18.33   17.92   17.26   18.03   14.24
2013 05 13 15 40   870.8   6.7  136.  24.59    20.   308.5    0.2   24.14   27.90   20.25   18.48   18.05   17.28   18.01   14.25
2013 05 13 15 45   870.8   6.6  131.  24.91    20.   318.2    0.2   24.57   28.33   20.50   18.62   18.18   17.31   17.99   14.24
2013 05 13 15 50   870.8   6.7  130.  25.15    19.   327.2    0.2   25.00   28.76   20.74   18.77   18.31   17.34   17.97   14.24
2013 05 13 15 55   870.8   6.3  124.  25.22    19.   336.1    0.2   25.42   29.18   20.99   18.92   18.44   17.37   17.95   14.24
2013 05 13 16 00   870.7   6.3  123.  25.50    19.   344.4    0.2   25.85   29.61   21.25   19.07   18.57   17.40   17.93   14.24
2013 05 13 16 05   870.7   6.6  139.  25.80    18.   353.0    0.2   26.29   30.11   21.51   19.22   18.71   17.44   17.91   14.23
2013 05 13 16 10   870.7   5.9  144.  26.37    18.   362.3    0.2   26.74   30.61   21.76   19.38   18.84   17.47   17.89   14.23
2013 05 13 16 15   870.7   6.0  149.  26.66    17.   370.4    0.2   27.18   31.10   22.01   19.53   18.96   17.51   17.87   14.23
2013 05 13 16 20   870.6   7.0  146.  26.58    17.   379.9    0.2   27.59   31.59   22.27   19.69   19.10   17.54   17.85   14.22
2013 05 13 16 25   870.6   7.1  144.  26.60    17.   388.1    0.2   27.99   32.02   22.52   19.85   19.23   17.59   17.84   14.22
2013 05 13 16 30   870.6   6.4  136.  26.78    16.   396.4    0.2   28.40   32.47   22.78   20.02   19.38   17.63   17.82   14.22
2013 05 13 16 35   870.5   7.1  130.  26.97    17.   402.5    0.2   28.84   32.94   23.05   20.18   19.51   17.68   17.81   14.21
2013 05 13 16 40   870.5   6.3  137.  27.56    16.   410.0    0.2   29.30   33.42   23.33   20.35   19.66   17.73   17.79   14.21
2013 05 13 16 45   870.5   6.3  138.  27.74    16.   417.8    0.2   29.72   33.85   23.58   20.52   19.80   17.78   17.78   14.21
2013 05 13 16 50   870.5   7.0  132.  27.91    15.   425.4    0.2   30.13   34.31   23.85   20.69   19.94   17.83   17.76   14.21
2013 05 13 16 55   870.5   5.8  146.  28.00    15.   432.8    0.2   30.59   34.81   24.15   20.88   20.11   17.91   17.77   14.23
2013 05 13 17 00   870.5   5.5  147.  28.24    15.   438.5    0.2   31.03   35.26   24.41   21.04   20.24   17.95   17.75   14.21
2013 05 13 17 05   870.5   6.0  157.  28.45    14.   444.8    0.2   31.42   35.70   24.68   21.21   20.39   18.01   17.73   14.20
2013 05 13 17 10   870.5   5.0  151.  28.39    14.   452.2    0.2   31.76   36.06   24.95   21.39   20.53   18.07   17.72   14.20
2013 05 13 17 15   870.5   6.1  144.  28.48    14.   454.2    0.2   32.10   36.47   25.23   21.56   20.69   18.13   17.72   14.20
2013 05 13 17 20   870.5   5.6  152.  28.84    14.   457.7    0.2   32.52   36.87   25.50   21.74   20.84   18.20   17.71   14.19
2013 05 13 17 25   870.4   6.5  147.  28.76    14.   464.7    0.2   32.89   37.19   25.76   21.92   20.99   18.27   17.70   14.19
2013 05 13 17 30   870.4   5.5  146.  29.16    14.   470.0    0.2   33.25   37.46   26.01   22.09   21.14   18.34   17.70   14.19
2013 05 13 17 35   870.4   3.6  189.  29.35    14.   475.1    0.2   33.65   37.84   26.30   22.29   21.32   18.44   17.72   14.22
2013 05 13 17 40   870.4   2.8  189.  29.13    14.   472.6    0.2   34.01   38.21   26.60   22.47   21.48   18.52   17.72   14.22
2013 05 13 17 45   870.4   1.9  230.  28.90    14.   477.5    0.2   34.50   38.71   26.91   22.65   21.63   18.59   17.72   14.21
2013 05 13 17 50   870.4   2.6  251.  28.77    14.   478.3    0.2   35.05   39.15   27.23   22.83   21.78   18.66   17.71   14.21
2013 05 13 17 55   870.4   1.5  244.  29.26    14.   480.1    0.2   35.77   39.55   27.56   23.01   21.91   18.72   17.69   14.18
2013 05 13 18 00   870.3   2.4  222.  29.31    14.   481.7    0.2   36.49   39.87   27.88   23.16   22.03   18.77   17.65   14.14
2013 05 13 18 05   870.2   1.9  211.  29.28    14.   487.0    0.2   37.02   40.09   28.21   23.35   22.18   18.84   17.64   14.13
2013 05 13 18 10   870.2   2.7  195.  29.47    14.   491.1    0.2   37.43   40.35   28.54   23.53   22.34   18.92   17.64   14.12
